processo;embarque;supplier;modal;data_etd;data_entrega;quantidade;valor_produto;frete;impostos;custo_total_real;custo_unitario;variacao_cambial;lead_time_total;dias_desembaraco;pallets;custo_por_pallet;percentual_frete;percentual_impostos
GOC23031;2;Lanrun;Não Informado;12/02/2023;11/07/2023;29134;95694,98;3100,0;182343,36;281138,34;9,65;;149,0;10,0;52,0;5406,51;0,011;0,6486
GOC23031;5;Lanrun;Não Informado;25/12/2023;12/01/2024;24040;83008,8;3100,0;158243,26;244352,06;10,16;0,01;18,0;10,0;54,0;4525,04;0,0127;0,6476
GOC23031;1;Lanrun;Não Informado;20/11/2023;17/01/2024;23440;80868,0;3100,0;156934,01;240902,01;10,28;0,01;58,0;10,0;48,0;5018,79;0,0129;0,6514
GOC23031;3;Lanrun;Não Informado;18/12/2023;31/01/2024;32500;104650,0;3100,0;226144,36;333894,36;10,27;0,0;44,0;10,0;52,0;6421,05;0,0093;0,6773
GOC23031;4;Lanrun;Não Informado;18/12/2023;31/01/2024;29200;95772,0;3100,0;188018,97;286890,97;9,83;0,0;44,0;10,0;54,0;5312,8;0,0108;0,6554
GOC23031;6;Lanrun;Não Informado;15/01/2024;04/03/2024;32700;103803,6;3100,0;201099,67;308003,27;9,42;0,02;49,0;10,0;0,0;;0,0101;0,6529
GOC23031;7;Lanrun;Não Informado;15/01/2024;05/03/2024;35000;103250,0;3100,0;208261,98;314611,98;8,99;-0,01;50,0;10,0;50,0;6292,24;0,0099;0,662
GOC23031;8;Lanrun;Não Informado;14/02/2024;06/04/2024;37120;117744,0;3100,0;241087,4;361931,4;9,75;-0,04;52,0;10,0;51,0;7096,69;0,0086;0,6661
GOC24009;1;Dongguan Alljoyful;Não Informado;20/04/2024;30/05/2024;13400;13106,0;0,0;35901,56;49007,56;3,66;-0,06;40,0;10,0;0,0;;0,0;0,7326
GOC23031;9;Lanrun;Fcl;16/04/2024;03/06/2024;32320;104070,4;4247,0;197967,75;306285,15;9,48;0,06;48,0;10,0;48,0;6380,94;0,0139;0,6464
GOC24014;1;Newcom;Não Informado;23/05/2024;04/06/2024;10;49000,0;2949,3;77375,27;129324,57;12932,46;-0,25;12,0;10,0;0,0;;0,0228;0,5983
GOC24024;1;Lanrun;Aéreo;15/05/2024;11/06/2024;15750;7087,5;0,0;14798,19;21885,69;1,39;-0,24;27,0;10,0;8,0;2735,71;0,0;0,6762
GOC23031;10;Lanrun;Fcl;16/04/2024;24/06/2024;25400;84713,6;4247,0;168771,47;257732,07;10,15;0,31;69,0;12,0;48,0;5369,42;0,0165;0,6548
GOC24002;1;Parisun;Fcl;27/04/2024;03/07/2024;6500;33150,0;0,0;132358,12;165508,12;25,46;0,25;67,0;21,0;23,0;7196,01;0,0;0,7997
GOC24011;1;Newcom;Fcl;25/04/2024;01/07/2024;46700;33624,0;0,0;111955,59;145579,59;3,12;0,19;67,0;18,0;67,0;2172,83;0,0;0,769
GOC23031;11;Lanrun;Fcl;21/05/2024;08/07/2024;41410;87802,5;8900,0;216250,79;312953,29;7,56;0,02;48,0;13,0;55,0;5690,06;0,0284;0,691
GOC24024;2;Lanrun;Fcl;21/05/2024;08/07/2024;13650;6142,5;7497,68;75074,71;88714,89;6,5;-0,13;48,0;13,0;8,0;11089,36;0,0845;0,8462
GOC24012;1;Lanrun;Fcl;19/05/2024;08/07/2024;43080;106239,6;0,0;230834,08;337073,68;7,82;-0,0;50,0;10,0;52,0;6482,19;0,0;0,6848
GOC24033;1;Ismile;Aéreo;24/06/2024;14/07/2024;8800;17512,0;2800,65;55254,68;75567,33;8,59;-0,14;20,0;15,0;0,0;;0,0371;0,7312
GOC24032;1;Dongguan Alljoyful;Aereo E Maritimo;31/05/2024;16/07/2024;76600;35236,0;19737,2;95689,03;150662,23;1,97;0,41;46,0;15,0;24,0;6277,59;0,131;0,6351
GOC24012;3;Lanrun;Fcl;31/05/2024;21/07/2024;18940;61567,8;0,0;223041,68;284609,48;15,03;-0,16;51,0;15,0;37,0;7692,15;0,0;0,7837
GOC24012;2;Lanrun;Fcl;31/05/2024;22/07/2024;26040;95180,0;0,0;235311,3;330491,3;12,69;-0,16;52,0;16,0;57,0;5798,09;0,0;0,712
GOC24048;1;Yns;Lcl;06/06/2024;24/07/2024;2500;15125,0;1794,52;60729,48;77649,0;31,06;-0,17;48,0;18,0;13,0;5973,0;0,0231;0,7821
GOC24027;1;Newcom;Fcl;08/06/2024;26/07/2024;19250;15785,0;206,91;33376,42;49368,33;2,56;0,07;48,0;19,0;0,0;;0,0042;0,6761
GOC24014;2;Newcom;Fcl;03/06/2024;24/07/2024;2;5000,0;0,0;12579,42;17579,42;8789,71;-0,07;51,0;15,0;0,0;;0,0;0,7156
GOC24057;1;Newcom;Não Informado;05/07/2024;29/07/2024;2235;2302,05;1285,32;16682,08;20269,45;9,07;-0,3;24,0;20,0;0,0;;0,0634;0,823
GOC24054;1;Bh Unit;Não Informado;06/07/2024;22/07/2024;12;12300,0;693,0;35905,53;48898,53;4074,88;-0,04;16,0;10,0;0,0;;0,0142;0,7343
GOC24015;1;Parisun;Fcl;11/06/2024;25/07/2024;35881;176299,15;27450,0;699021,55;902770,7;25,16;0,0;44,0;13,0;130,0;6944,39;0,0304;0,7743
GOC24021;1;Newcom;Não Informado;15/06/2024;24/07/2024;15;67800,0;3843,3;98044,97;169688,27;11312,55;0,03;39,0;9,0;0,0;;0,0226;0,5778
GOC24034;1;Dongguan Alljoyful;Não Informado;18/06/2024;27/07/2024;15800;10528,7;50,0;24273,9;34852,6;2,21;0,05;39,0;10,0;0,0;;0,0014;0,6965
GOC24035;1;Dongguan Alljoyful;Aéreo;15/06/2024;24/07/2024;21680;15176,0;2533,95;45180,0;62889,95;2,9;0,18;39,0;5,0;17,0;3699,41;0,0403;0,7184
GOC24012;5;Lanrun;Fcl;14/06/2024;29/07/2024;24320;90360,0;0,0;195511,73;285871,73;11,75;0,12;45,0;10,0;53,0;5393,81;0,0;0,6839
GOC24012;4;Lanrun;Fcl;14/06/2024;03/08/2024;22820;79870,0;0,0;271583,35;351453,35;15,4;0,12;50,0;15,0;36,0;9762,59;0,0;0,7727
GOC24060;1;Dongguan Alljoyful;Aéreo;20/06/2024;07/08/2024;27100;;4925,55;92677,01;97602,56;3,6;0,01;48,0;15,0;0,0;;0,0505;0,9495
GOC23035;1;Parisun;Fcl;08/06/2024;03/08/2024;7500;33000,0;0,0;172899,61;205899,61;27,45;0,23;56,0;10,0;26,0;7919,22;0,0;0,8397
GOC24016;1;Yns;Fcl;26/06/2024;05/08/2024;7000;21820,0;2670,09;85679,02;110169,11;15,74;0,04;40,0;10,0;15,0;7344,61;0,0242;0,7777
GOC24030;1;Yns;Fcl;28/06/2024;05/08/2024;12975;63577,5;7779,91;249645,16;321002,57;24,74;0,09;38,0;10,0;30,0;10700,09;0,0242;0,7777
GOC24037;1;Everich;Fcl;25/05/2024;16/08/2024;10000;4500,0;172,25;15301,74;19973,99;2,0;0,2;83,0;21,0;0,0;;0,0086;0,7661
GOC24012;7;Lanrun;Fcl;23/06/2024;11/08/2024;17240;60740,0;0,0;254635,94;315375,94;18,29;0,16;49,0;15,0;29,0;10875,03;0,0;0,8074
GOC24012;6;Lanrun;Fcl;25/06/2024;11/08/2024;24360;89090,0;0,0;250300,17;339390,17;13,93;0,15;47,0;15,0;50,0;6787,8;0,0;0,7375
GOC24073;1;Newcom;Aéreo;27/06/2024;24/08/2024;2929;3016,87;1604,94;21589,92;26211,73;8,95;-0,11;58,0;15,0;0,0;;0,0612;0,8237
GOC24012;8;Lanrun;Fcl;08/07/2024;27/08/2024;19620;67244,2;0,0;255249,42;322493,62;16,44;-0,13;50,0;14,0;37,0;8716,04;0,0;0,7915
GOC24013;1;Endian;Lcl;11/07/2024;29/08/2024;2000;8360,0;0,0;42997,67;51357,67;25,68;-0,34;49,0;10,0;0,0;;0,0;0,8372
GOC24061;1;Newcom;Não Informado;13/08/2024;03/09/2024;1;4800,0;810,65;9780,42;15391,07;15391,07;-0,15;21,0;15,0;0,0;;0,0527;0,6355
GOC24012;9;Lanrun;Fcl;16/07/2024;06/09/2024;17160;60690,0;0,0;228754,72;289444,72;16,87;0,07;52,0;15,0;30,0;9648,16;0,0;0,7903
GOC24021;2;Newcom;Fcl;23/07/2024;13/09/2024;3;8100,0;3400,0;31789,04;43289,04;14429,68;-0,03;52,0;15,0;0,0;;0,0785;0,7343
GOC24049;1;Newcom;Fcl;23/07/2024;13/09/2024;7500;2850,0;1700,0;8512,8;13062,8;1,74;0,14;52,0;15,0;8,0;1632,85;0,1301;0,6517
GOC24059;1;Newcom;Lcl;23/07/2024;13/09/2024;12000;6600,0;1700,0;19713,84;28013,84;2,33;-0,03;52,0;15,0;0,0;;0,0607;0,7037
GOC24032;2;Dongguan Alljoyful;Fcl;23/07/2024;19/09/2024;94200;51547,0;3400,0;116296,02;171243,02;1,82;-0,03;58,0;21,0;28,0;6115,82;0,0199;0,6791
